iter	Passed	Remaining
255	5600	16276
256	5617	16240
257	5634	16206
258	5653	16175
259	5678	16160
260	5705	16154
261	5726	16130
262	5754	16126
263	5775	16102
264	5801	16089
265	5818	16055
266	5840	16035
267	5859	16002
268	5881	15981
269	5907	15972
270	5924	15936
271	5938	15895
272	5960	15873
273	5988	15868
274	6007	15838
275	6029	15817
276	6045	15779
277	6062	15745
278	6081	15716
279	6100	15687
280	6115	15647
281	6131	15611
282	6145	15570
283	6162	15535
284	6180	15505
285	6197	15472
286	6213	15437
287	6232	15409
288	6260	15401
289	6292	15406
290	6323	15407
291	6342	15379
292	6357	15341
293	6371	15301
294	6385	15261
295	6400	15223
296	6418	15192
297	6433	15156
298	6452	15128
299	6470	15097
300	6493	15080
301	6511	15049
302	6529	15020
303	6546	14988
304	6565	14959
305	6581	14927
306	6598	14894
307	6619	14871
308	6638	14845
309	6660	14826
310	6678	14795
311	6697	14769
312	6715	14739
313	6739	14723
314	6760	14700
315	6780	14676
316	6796	14643
317	6812	14610
318	6830	14582
319	6845	14547
320	6863	14518
321	6880	14488
322	6900	14462
323	6919	14437
324	6937	14409
325	6953	14376
326	6969	14343
327	6987	14315
328	7005	14287
329	7019	14252
330	7036	14221
331	7055	14196
332	7075	14172
333	7095	14149
334	7114	14122
335	7128	14088
336	7147	14061
337	7168	14041
338	7192	14024
339	7209	13995
340	7225	13962
341	7238	13926
342	7254	13896
343	7272	13867
344	7287	13834
345	7304	13807
346	7322	13779
347	7340	13752
348	7357	13723
349	7377	13700
350	7388	13661
351	7402	13626
352	7414	13589
353	7424	13548
354	7437	13513
355	7449	13476
356	7460	13437
357	7472	13400
358	7485	13366
359	7498	13330
360	7508	13290
361	7520	13255
362	7530	13214
363	7541	13177
364	7550	13135
365	7560	13096
366	7570	13057
367	7580	13018
368	7591	12981
369	7602	12945
370	7612	12906
371	7622	12868
372	7633	12831
373	7645	12796
374	7657	12762
375	7668	12726
376	7677	12687
377	7687	12650
378	7700	12616
379	7714	12587
380	7726	12552
381	7740	12522
382	7757	12496
383	7769	12462
384	7780	12428
385	7792	12395
386	7803	12361
387	7816	12329
388	7830	12299
389	7843	12267
390	7853	12231
391	7864	12197
392	7872	12159
393	7883	12126
394	7893	12090
395	7904	12056
396	7914	12021
397	7925	11988
398	7936	11954
399	7946	11919
400	7958	11887
401	7969	11855
402	7980	11821
403	7991	11788
404	8001	11756
405	8012	11722
406	8022	11688
407	8034	11658
408	8045	11625
409	8057	11594
410	8067	11560
411	8077	11527
412	8086	11494
413	8099	11464
414	8109	11431
415	8120	11400
416	8132	11370
417	8144	11339
418	8155	11309
419	8167	11278
420	8177	11246
421	8188	11215
422	8198	11183
423	8211	11155
424	8222	11124
425	8233	11094
426	8243	11062
427	8254	11031
428	8265	11001
429	8275	10970
430	8286	10939
431	8297	10909
432	8309	10881
433	8321	10852
434	8333	10824
435	8342	10792
436	8353	10762
437	8365	10733
438	8376	10703
439	8387	10674
440	8397	10643
441	8406	10613
442	8416	10582
443	8427	10553
444	8438	10523
445	8446	10492
446	8458	10464
447	8470	10436
448	8485	10413
449	8499	10388
450	8513	10363
451	8525	10335
452	8540	10312
453	8552	10285
454	8565	10259
455	8577	10232
456	8596	10213
457	8609	10188
458	8621	10161
459	8634	10136
460	8647	10110
461	8661	10086
462	8675	10061
463	8687	10035
464	8700	10010
465	8713	9985
466	8727	9960
467	8740	9935
468	8753	9910
469	8764	9883
470	8774	9855
471	8785	9828
472	8797	9802
473	8808	9774
474	8819	9748
475	8829	9719
476	8841	9694
477	8850	9665
478	8859	9636
479	8870	9609
480	8879	9580
481	8890	9554
482	8900	9526
483	8909	9498
484	8920	9472
485	8929	9444
486	8940	9417
487	8949	9389
488	8959	9362
489	8967	9334
490	8978	9307
491	8988	9280
492	8998	9253
493	9010	9228
494	9020	9203
495	9030	9176
496	9041	9150
497	9050	9122
498	9059	9096
499	9070	9070
500	9082	9045
501	9090	9018
502	9104	8995
503	9115	8970
504	9129	8948
505	9141	8925
506	9151	8898
507	9161	8872
508	9172	8847
509	9182	8822
510	9192	8796
511	9204	8773
512	9212	8745
513	9222	8720
514	9233	8695
515	9243	8669
516	9254	8646
517	9265	8621
518	9274	8595
519	9286	8571
520	9297	8547
521	9307	8522
522	9317	8498
523	9328	8473
524	9339	8450
525	9348	8424
526	9358	8399
527	9370	8376
528	9379	8351
529	9390	8327
530	9400	8303
531	9411	8279
532	9423	8256
533	9434	8232
534	9444	8208
535	9452	8183
536	9462	8158
537	9472	8134
538	9484	8112
539	9495	8088
540	9505	8064
541	9518	8042
542	9530	8020
543	9542	7998
544	9551	7974
545	9562	7951
546	9571	7926
547	9581	7902
548	9592	7879
549	9604	7858
550	9613	7834
551	9622	7809
552	9633	7787
553	9645	7764
554	9655	7742
555	9665	7718
556	9677	7696
557	9688	7674
558	9700	7653
559	9711	7630
560	9722	7607
561	9732	7585
562	9744	7563
563	9755	7541
564	9765	7518
565	9778	7497
566	9788	7475
567	9798	7452
568	9810	7431
569	9822	7409
570	9831	7386
571	9841	7364
572	9851	7341
573	9863	7320
574	9874	7298
575	9887	7277
576	9898	7256
577	9911	7236
578	9923	7215
579	9936	7195
580	9947	7173
581	9960	7153
582	9972	7132
583	9984	7112
584	9994	7089
585	10005	7068
586	10013	7045
587	10025	7024
588	10041	7006
589	10051	6984
590	10059	6961
591	10067	6938
592	10076	6915
593	10085	6893
594	10095	6871
595	10104	6849
596	10115	6828
597	10122	6804
598	10131	6782
599	10138	6758
600	10145	6735
601	10153	6712
602	10161	6690
603	10169	6667
604	10178	6645
605	10185	6622
606	10193	6599
607	10201	6577
608	10209	6554
609	10216	6531
610	10223	6509
611	10231	6486
612	10238	6463
613	10245	6440
614	10253	6418
615	10261	6396
616	10268	6374
617	10276	6352
618	10284	6329
619	10292	6308
620	10301	6286
621	10307	6264
622	10315	6242
623	10323	6220
624	10331	6199
625	10338	6176
626	10348	6156
627	10358	6135
628	10365	6114
629	10374	6093
630	10384	6072
631	10391	6050
632	10398	6028
633	10406	6007
634	10413	5985
635	10420	5964
636	10426	5941
637	10435	5921
638	10443	5899
639	10450	5878
640	10457	5856
641	10464	5835
642	10471	5813
643	10478	5792
644	10486	5771
645	10494	5750
646	10502	5730
647	10509	5709
648	10517	5688
649	10523	5666
650	10530	5645
651	10537	5624
652	10543	5602
653	10550	5581
654	10557	5561
655	10564	5539
656	10572	5519
657	10579	5498
658	10587	5478
659	10596	5458
660	10603	5438
661	10611	5418
662	10619	5397
663	10628	5378
664	10634	5357
665	10642	5337
666	10650	5317
667	10657	5296
668	10666	5277
669	10673	5256
670	10682	5237
671	10690	5217
672	10697	5197
673	10706	5178
674	10713	5158
675	10720	5138
676	10728	5118
677	10736	5099
678	10745	5079
679	10753	5060
680	10760	5040
681	10768	5021
682	10778	5002
683	10787	4983
684	10797	4965
685	10806	4946
686	10815	4927
687	10822	4908
688	10831	4888
689	10837	4869
690	10846	4850
691	10854	4831
692	10861	4811
693	10869	4792
694	10877	4773
695	10884	4754
696	10891	4734
697	10898	4715
698	10905	4696
699	10913	4677
700	10923	4659
701	10930	4639
702	10938	4621
703	10945	4602
704	10954	4583
705	10962	4564
706	10970	4546
707	10978	4527
708	10987	4509
709	10994	4490
710	11002	4472
711	11009	4453
712	11016	4434
713	11024	4416
714	11032	4397
715	11038	4378
716	11046	4360
717	11055	4341
718	11063	4323
719	11071	4305
720	11078	4286
721	11085	4268
722	11093	4250
723	11100	4231
724	11109	4213
725	11118	4196
726	11128	4178
727	11136	4160
728	11146	4143
729	11153	4125
730	11160	4107
731	11168	4088
732	11176	4071
733	11183	4053
734	11193	4035
735	11201	4017
736	11211	4000
737	11221	3983
738	11232	3967
739	11240	3949
740	11247	3931
741	11256	3914
742	11264	3896
743	11271	3878
744	11279	3860
745	11287	3843
746	11295	3825
747	11304	3808
748	11311	3790
749	11319	3773
750	11326	3755
751	11336	3738
752	11347	3722
753	11354	3704
754	11363	3687
755	11371	3670
756	11378	3652
757	11386	3635
758	11393	3617
759	11400	3600
760	11408	3582
761	11415	3565
762	11424	3548
763	11431	3531
764	11440	3514
765	11449	3497
766	11456	3480
767	11462	3462
768	11471	3445
769	11478	3428
770	11485	3411
771	11493	3394
772	11500	3377
773	11507	3360
774	11514	3342
775	11522	3325
776	11529	3309
777	11537	3292
778	11544	3275
779	11550	3257
780	11558	3240
781	11565	3224
782	11572	3207
783	11580	3190
784	11591	3174
785	11600	3158
786	11608	3141
787	11618	3125
788	11628	3109
789	11636	3093
790	11643	3076
791	11651	3060
792	11659	3043
793	11666	3026
794	11673	3010
795	11681	2993
796	11689	2977
797	11696	2960
798	11704	2944
799	11712	2928
800	11721	2912
801	11729	2895
802	11737	2879
803	11751	2864
804	11761	2849
805	11775	2834
806	11784	2818
807	11793	2802
808	11805	2787
809	11813	2771
810	11824	2755
811	11833	2739
812	11841	2723
813	11849	2707
814	11856	2691
815	11864	2675
816	11872	2659
817	11880	2643
818	11890	2627
819	11898	2611
820	11905	2595
821	11912	2579
822	11918	2563
823	11927	2547
824	11934	2531
825	11942	2515
826	11950	2499
827	11959	2484
828	11968	2468
829	11977	2453
830	11987	2437
831	11995	2422
832	12002	2406
833	12009	2390
834	12015	2374
835	12024	2358
836	12031	2343
837	12039	2327
838	12048	2312
839	12054	2296
840	12062	2280
841	12068	2264
842	12076	2249
843	12085	2233
844	12092	2218
845	12101	2202
846	12111	2187
847	12120	2172
848	12131	2157
849	12139	2142
850	12148	2127
851	12157	2111
852	12167	2096
853	12177	2081
854	12184	2066
855	12191	2050
856	12201	2035
857	12208	2020
858	12218	2005
859	12227	1990
860	12234	1975
861	12242	1959
862	12249	1944
863	12258	1929
864	12265	1914
865	12273	1899
866	12281	1884
867	12289	1868
868	12297	1853
869	12306	1838
870	12314	1823
871	12323	1808
872	12331	1793
873	12338	1778
874	12346	1763
875	12357	1749
876	12364	1734
877	12371	1719
878	12378	1704
879	12386	1689
880	12392	1673
881	12404	1659
882	12414	1644
883	12424	1630
884	12432	1615
885	12440	1600
886	12448	1585
887	12458	1571
888	12468	1556
889	12477	1542
890	12485	1527
891	12492	1512
892	12499	1497
893	12507	1483
894	12514	1468
895	12521	1453
896	12530	1438
897	12538	1424
898	12545	1409
899	12553	1394
900	12562	1380
901	12571	1365
902	12580	1351
903	12589	1336
904	12597	1322
905	12605	1307
906	12615	1293
907	12622	1278
908	12630	1264
909	12638	1249
910	12648	1235
911	12657	1221
912	12665	1206
913	12675	1192
914	12684	1178
915	12690	1163
916	12697	1149
917	12705	1134
918	12713	1120
919	12723	1106
920	12731	1092
921	12741	1077
922	12749	1063
923	12759	1049
924	12768	1035
925	12777	1021
926	12785	1006
927	12792	992
928	12802	978
929	12809	964
930	12816	949
931	12824	935
932	12831	921
933	12840	907
934	12848	893
935	12858	879
936	12868	865
937	12875	851
938	12882	836
939	12889	822
940	12896	808
941	12905	794
942	12914	780
943	12921	766
944	12929	752
945	12939	738
946	12947	724
947	12955	710
948	12965	696
949	12974	682
950	12982	668
951	12989	654
952	12997	640
953	13005	627
954	13011	613
955	13018	599
956	13027	585
957	13036	571
958	13043	557
959	13051	543
960	13061	530
961	13070	516
962	13078	502
963	13086	488
964	13095	474
965	13103	461
966	13111	447
967	13119	433
968	13127	419
969	13135	406
970	13146	392
971	13153	378
972	13161	365
973	13170	351
974	13177	337
975	13183	324
976	13190	310
977	13197	296
978	13204	283
979	13211	269
980	13219	256
981	13227	242
982	13235	228
983	13242	215
984	13252	201
985	13261	188
986	13269	174
987	13279	161
988	13285	147
989	13295	134
990	13301	120
991	13309	107
992	13317	93
993	13325	80
994	13333	67
995	13341	53
996	13347	40
997	13355	26
998	13362	13
999	13370	0
