iter	Logloss
0	0.6571569248
1	0.6270387129
2	0.6017453812
3	0.5816342801
4	0.5611736705
5	0.5455623825
6	0.5321087958
7	0.5193587184
8	0.5088505927
9	0.5012496782
10	0.492852949
11	0.4867353723
12	0.4814373717
13	0.4759124904
14	0.4715550857
15	0.4679166935
16	0.4643394841
17	0.4609044576
18	0.4579445645
19	0.4554691448
20	0.4537980062
21	0.4507448967
22	0.4486745683
23	0.4469236925
24	0.4455359456
25	0.4440050946
26	0.4428634256
27	0.4409325361
28	0.4392506981
29	0.4375935582
30	0.4364707473
31	0.4352325108
32	0.4343350609
33	0.4329581677
34	0.4322427225
35	0.4315069344
36	0.4301380101
37	0.4290301956
38	0.4278554296
39	0.427034524
40	0.4262287039
41	0.4250925785
42	0.4246128048
43	0.4240270913
44	0.423584278
45	0.4233100052
46	0.4228035499
47	0.4220238181
48	0.4211068015
49	0.4207329454
50	0.4199883553
51	0.4191582371
52	0.4187990973
53	0.4184076526
54	0.4176548188
55	0.4171382091
56	0.4167075182
57	0.4160402256
58	0.4153637727
59	0.4149229073
60	0.414553473
61	0.4142352616
62	0.4138337656
63	0.4136491855
64	0.4131159679
65	0.4128864504
66	0.4127320806
67	0.4124495797
68	0.4120433955
69	0.4117242186
70	0.411450593
71	0.4111576705
72	0.4108869854
73	0.4105179486
74	0.4100812319
75	0.409812083
76	0.4095832979
77	0.4093801707
78	0.4089925214
79	0.4087162464
80	0.4083728241
81	0.4082658452
82	0.4080687589
83	0.4080514042
84	0.4078567526
85	0.4075589953
86	0.4072464494
87	0.4070439368
88	0.4069251889
89	0.4067165913
90	0.4065498459
91	0.4063505461
92	0.4060907222
93	0.4059879513
94	0.4058238604
95	0.405706337
96	0.4056787554
97	0.4055202055
98	0.4053080639
99	0.4052133606
100	0.4051070669
101	0.404985135
102	0.4048138567
103	0.4047000759
104	0.4045829528
105	0.4045743637
106	0.4044146613
107	0.4043495698
108	0.404263853
109	0.4041199515
110	0.4039703359
111	0.4038576472
112	0.4037220975
113	0.4035940837
114	0.4034514098
115	0.4033822583
116	0.40330857
117	0.4032378591
118	0.4031342818
119	0.4029932854
120	0.4027791508
121	0.4027410357
122	0.4027209689
123	0.4026671286
124	0.4025940758
125	0.4025062154
126	0.4023640081
127	0.4022746848
128	0.402202703
129	0.4021496595
130	0.4020840973
131	0.4019350402
132	0.4018236331
133	0.4017480333
134	0.4016120638
135	0.4015231912
136	0.4014274378
137	0.401375386
138	0.4013280934
139	0.4012383743
140	0.4011999537
141	0.4011191703
142	0.4010640602
143	0.4009692421
144	0.4008588408
145	0.4008101618
146	0.4007328173
147	0.4006575969
148	0.4005574709
149	0.4004871865
150	0.4004268873
151	0.4003694845
152	0.4003077508
153	0.4001816572
154	0.4001377284
155	0.4000640596
156	0.3999783202
157	0.3999290152
158	0.399871846
159	0.3998262329
160	0.3997775002
161	0.3997398141
162	0.3996861255
163	0.3996316593
164	0.3995811441
165	0.3995256904
166	0.3994789013
167	0.3994209862
168	0.3993793583
169	0.3993101992
170	0.3992502742
171	0.3991997744
172	0.3990694352
173	0.399006664
174	0.3989712142
175	0.3989059152
176	0.3988497932
177	0.3988035378
178	0.3987498439
179	0.3986908299
180	0.3986468598
181	0.3986100549
182	0.3985575001
183	0.3985150859
184	0.3984845102
185	0.3984195107
186	0.3983825911
187	0.3983506188
188	0.3983182171
189	0.3982802836
190	0.3982488371
191	0.3981891124
192	0.3981615446
193	0.3981290454
194	0.3980977621
195	0.3980669022
196	0.398016536
197	0.3979918517
198	0.3979539423
199	0.3979053135
200	0.3978759974
201	0.3977944102
202	0.3977504286
203	0.3977192261
204	0.3976854687
205	0.3976605599
206	0.3975801586
207	0.3975415522
208	0.3975199353
209	0.3974904058
210	0.3974712168
211	0.3974231783
212	0.3973626264
213	0.3973338336
214	0.3973006405
215	0.3972685941
216	0.3972416223
217	0.397214119
218	0.3971931886
219	0.3971659464
220	0.3971444013
221	0.3971281812
222	0.3970959481
223	0.3970605005
224	0.3970433294
225	0.3970028942
226	0.39698194
227	0.3969609743
228	0.3969289732
229	0.3968934215
230	0.3968671952
231	0.396840689
232	0.3968200716
233	0.3967826329
234	0.3967477726
235	0.396723671
236	0.396705794
237	0.3966791898
238	0.3966431399
239	0.3966082765
240	0.3965886073
241	0.3965568711
242	0.3965420766
243	0.3965177303
244	0.3964927719
245	0.3964720666
246	0.3964522981
247	0.3964309865
248	0.3964025586
249	0.39638321
250	0.3963663058
251	0.3963284428
252	0.3963107021
253	0.3962888514
254	0.3962673064
255	0.3962412603
256	0.3962191313
257	0.3961990104
258	0.3961747668
259	0.396154983
260	0.3961414263
261	0.3961225783
262	0.3961062439
263	0.3960846651
264	0.3960535992
265	0.3960338974
266	0.3960063277
267	0.395990892
268	0.3959730264
269	0.395942897
270	0.3959263625
271	0.3959130926
272	0.395892619
273	0.3958739713
274	0.3958537069
275	0.3958393995
276	0.3958253081
277	0.3958084375
278	0.3957898294
279	0.3957712027
280	0.3957531038
281	0.3957379995
282	0.3957254327
283	0.3957122028
284	0.3957000834
285	0.3956849789
286	0.395667384
287	0.3956524709
288	0.3956351515
289	0.3956226526
290	0.3956084076
291	0.3955968824
292	0.3955797658
293	0.3955658084
294	0.3955558646
295	0.3955426956
296	0.3955216092
297	0.3955123588
298	0.3954908818
299	0.3954788011
300	0.3954392143
301	0.395428707
302	0.3954072996
303	0.3953990168
304	0.3953772517
305	0.395364516
306	0.3953482776
307	0.3953304485
308	0.3953203106
309	0.395301102
310	0.3952889754
311	0.3952739162
312	0.3952653168
313	0.3952541062
314	0.3952317181
315	0.3952241799
316	0.3952084066
317	0.3951973564
318	0.3951836574
319	0.3951749595
320	0.3951601047
321	0.395150194
322	0.3951227083
323	0.3951124298
324	0.3950949402
325	0.3950838317
326	0.3950720962
327	0.3950605182
328	0.3950494091
329	0.3950391919
330	0.3950256327
331	0.3950125609
332	0.3949968909
333	0.3949881036
334	0.3949745858
335	0.3949655072
336	0.3949559511
337	0.3949437963
338	0.3949341066
339	0.3949242305
340	0.3949139739
341	0.3949056245
342	0.3948962396
343	0.3948866843
344	0.3948775641
345	0.3948700477
346	0.394861632
347	0.3948514659
348	0.3948390638
349	0.3948307771
350	0.3948234596
351	0.3948092115
352	0.394796356
353	0.3947862912
354	0.3947790488
355	0.3947714521
356	0.3947580437
357	0.3947431645
358	0.3947310253
359	0.3947084533
360	0.3947012524
361	0.3946939123
362	0.3946845245
363	0.3946761317
364	0.3946672568
365	0.3946585556
366	0.3946503099
367	0.3946400669
368	0.3946335892
369	0.3946256175
370	0.3946148452
371	0.3946044494
372	0.3945931647
373	0.3945825727
374	0.3945705944
375	0.3945544022
376	0.3945453089
377	0.3945375164
378	0.3945265798
379	0.3945112219
380	0.3945015469
381	0.3944954767
382	0.3944873177
383	0.3944811092
384	0.3944722195
385	0.3944643203
386	0.3944548729
387	0.3944451634
388	0.3944360725
389	0.3944290192
390	0.3944159905
391	0.3943956153
392	0.3943892959
393	0.3943800623
394	0.3943732213
395	0.3943671287
396	0.3943595003
397	0.3943525343
398	0.3943471326
399	0.3943395629
400	0.3943317657
401	0.3943160546
402	0.3943083731
403	0.3942976377
404	0.3942919838
405	0.3942844149
406	0.3942753173
407	0.3942699435
408	0.3942642702
409	0.3942569313
410	0.3942505963
411	0.3942456217
412	0.3942364511
413	0.3942196223
414	0.3942091783
415	0.3942032923
416	0.3941987234
417	0.3941918783
418	0.3941873176
419	0.3941788309
420	0.3941714999
421	0.394163398
422	0.3941573568
423	0.39414343
424	0.3941307519
425	0.3941245325
426	0.3941186968
427	0.3941132896
428	0.3941093552
429	0.394103962
430	0.3940986928
431	0.3940922172
432	0.3940715443
433	0.3940563693
434	0.394050435
435	0.3940447801
436	0.3940345608
437	0.394025796
438	0.3940180706
439	0.394008096
440	0.3940035073
441	0.3939987689
442	0.3939930718
443	0.3939872094
444	0.3939799997
445	0.3939765265
446	0.3939692812
447	0.3939653265
448	0.3939585368
449	0.3939511826
450	0.3939462092
451	0.3939405888
452	0.3939345778
453	0.3939266043
454	0.3939221991
455	0.3939159743
456	0.3939124983
457	0.3939077413
458	0.3939030308
459	0.3938961245
460	0.3938896718
461	0.3938835862
462	0.3938759954
463	0.3938698506
464	0.393862828
465	0.3938553709
466	0.3938438004
467	0.3938389422
468	0.3938333239
469	0.3938251198
470	0.3938202398
471	0.3938157811
472	0.393802718
473	0.3937975906
474	0.3937932286
475	0.3937885383
476	0.3937846272
477	0.3937776648
478	0.3937732323
479	0.393768527
480	0.3937641277
481	0.3937577824
482	0.3937517204
483	0.3937482817
484	0.3937411204
485	0.3937343096
486	0.3937201904
487	0.3937163545
488	0.3937125827
489	0.3937054838
490	0.3936994112
491	0.3936934853
492	0.3936898297
493	0.3936857859
494	0.3936786667
495	0.3936748426
496	0.3936702496
497	0.3936652063
498	0.3936595858
499	0.3936478056
500	0.3936416436
501	0.3936375075
502	0.3936334634
503	0.3936288952
504	0.3936208455
505	0.3936139029
506	0.3936099491
507	0.3936056339
508	0.3935990806
509	0.3935874753
510	0.3935825954
511	0.3935760455
512	0.3935726288
513	0.3935631851
514	0.3935574137
515	0.3935541868
516	0.3935489907
517	0.393542714
518	0.3935396846
519	0.3935366589
520	0.3935266679
521	0.3935228708
522	0.3935178599
523	0.3935149498
524	0.3935113225
525	0.3935052333
526	0.393500024
527	0.3934905069
528	0.3934812073
529	0.3934737102
530	0.3934691784
531	0.3934660554
532	0.3934619099
533	0.3934577285
534	0.3934541018
535	0.393447649
536	0.3934443198
537	0.393440302
538	0.3934297384
539	0.3934240753
540	0.393416956
541	0.3934043705
542	0.3933982849
543	0.3933906524
544	0.3933867189
545	0.3933839869
546	0.3933796999
547	0.3933764767
548	0.3933695084
549	0.3933618198
550	0.3933574983
551	0.393354777
552	0.3933505214
553	0.393345389
554	0.3933375927
555	0.3933319286
556	0.3933205022
557	0.3933166116
558	0.3933096261
559	0.3933033701
560	0.3933011682
561	0.3932986138
562	0.3932958228
563	0.3932934029
564	0.3932897114
565	0.3932836466
566	0.3932787213
567	0.3932752934
568	0.3932607103
569	0.3932545695
570	0.3932515105
571	0.3932481916
572	0.3932450611
573	0.3932423499
574	0.3932393947
575	0.3932359869
576	0.3932323971
577	0.3932293795
578	0.3932255073
579	0.3932169162
580	0.3932143037
581	0.3932108747
582	0.3932061192
583	0.3932025105
584	0.3931976046
585	0.3931920385
586	0.3931886087
587	0.3931846762
588	0.3931747812
589	0.3931699036
590	0.393166772
591	0.3931632649
592	0.3931577315
593	0.3931548063
594	0.3931523125
595	0.393149251
596	0.3931452679
597	0.3931415292
598	0.3931391009
599	0.3931366778
600	0.3931298606
601	0.3931256242
602	0.3931224939
603	0.3931178015
604	0.3931153367
605	0.3931107994
606	0.393105828
607	0.3930989817
608	0.3930917805
609	0.3930871422
610	0.3930840918
611	0.3930794549
612	0.3930774686
613	0.3930750293
614	0.3930642242
615	0.3930599321
616	0.3930572225
617	0.3930544248
618	0.3930514933
619	0.3930471916
620	0.3930413133
621	0.3930382888
622	0.3930360724
623	0.3930274564
624	0.3930245116
625	0.3930220316
626	0.3930171939
627	0.3930144881
628	0.3930110416
629	0.3930056243
630	0.3930027771
631	0.3929996343
632	0.3929959342
633	0.3929915155
634	0.3929883789
635	0.3929832126
636	0.3929803906
637	0.3929764048
638	0.3929711742
639	0.3929677282
640	0.3929632805
641	0.3929596978
642	0.3929541315
643	0.3929502646
644	0.3929469802
645	0.3929435138
646	0.3929397871
647	0.392937905
648	0.3929359213
649	0.3929327121
650	0.3929281706
651	0.3929255418
652	0.3929231301
653	0.3929199414
654	0.3929174765
655	0.3929148484
656	0.3929122673
657	0.3929100326
658	0.3929075766
659	0.3929017736
660	0.3928995015
661	0.3928939282
662	0.3928920668
663	0.3928888164
664	0.392886763
665	0.3928843134
666	0.3928795725
667	0.392877655
668	0.3928736269
669	0.3928685251
670	0.3928638737
671	0.3928619076
672	0.3928604404
673	0.3928559915
674	0.3928531079
675	0.3928491657
676	0.3928459471
677	0.3928432606
678	0.3928397517
679	0.3928376689
680	0.3928342568
681	0.3928317079
682	0.3928283797
683	0.3928268273
684	0.3928212644
685	0.3928176488
686	0.3928157461
687	0.3928099062
688	0.3928008048
689	0.3927983176
690	0.3927964203
691	0.3927949056
692	0.3927922908
693	0.3927900525
694	0.392788148
695	0.3927861419
696	0.3927833207
697	0.3927814052
698	0.3927797587
699	0.3927774145
700	0.3927694168
701	0.3927646869
702	0.3927606503
703	0.3927585298
704	0.3927569316
705	0.3927529523
706	0.3927512947
707	0.3927417999
708	0.3927379938
709	0.3927364787
710	0.3927336829
711	0.3927313505
712	0.3927283523
713	0.3927253224
714	0.3927230509
715	0.3927211641
716	0.3927188314
717	0.3927164263
718	0.392713649
719	0.3927117158
720	0.3927097518
721	0.3927064054
722	0.3927034281
723	0.3927012425
724	0.3926939226
725	0.3926886701
726	0.3926864118
727	0.3926838902
728	0.3926800945
729	0.3926767686
730	0.39267491
731	0.392673406
732	0.3926694437
733	0.3926619248
734	0.3926591669
735	0.3926575273
736	0.3926545202
737	0.3926462615
738	0.3926381345
739	0.3926361451
740	0.3926341429
741	0.3926297647
742	0.3926246334
743	0.392623386
744	0.3926206631
745	0.392618832
746	0.3926161807
747	0.3926131774
748	0.39261062
749	0.3926082911
750	0.3926058368
751	0.3926038664
752	0.3925994365
753	0.3925958981
754	0.3925933834
755	0.3925920246
756	0.3925895057
757	0.3925876416
758	0.3925852784
759	0.3925832304
760	0.3925812565
761	0.3925785509
762	0.3925754104
763	0.3925733275
764	0.3925704072
765	0.3925650888
766	0.3925612795
767	0.3925597988
768	0.3925557981
769	0.392553785
770	0.3925512019
771	0.3925487934
772	0.3925421076
773	0.3925386257
774	0.3925370946
775	0.3925350672
776	0.3925332377
777	0.3925305187
778	0.3925283551
779	0.3925258155
780	0.3925248328
781	0.3925221147
782	0.3925195757
783	0.3925157737
784	0.3925128438
785	0.3925056412
786	0.3925031355
787	0.3925011153
788	0.3924987398
789	0.3924969221
790	0.3924945567
791	0.3924928611
792	0.3924898166
793	0.3924878581
794	0.3924863164
795	0.3924845163
796	0.3924818084
797	0.3924805497
798	0.3924740801
799	0.3924706708
800	0.3924651459
801	0.3924632097
802	0.3924596317
803	0.3924560524
804	0.3924536035
805	0.3924512782
806	0.3924459174
807	0.3924441182
808	0.3924408584
809	0.3924367692
810	0.3924302048
811	0.3924276712
812	0.392425571
813	0.3924236446
814	0.3924210367
815	0.392417543
816	0.3924136924
817	0.3924121529
818	0.3924070378
819	0.3924031586
820	0.3923990995
821	0.39239797
822	0.392396628
823	0.3923884044
824	0.3923871556
825	0.3923831656
826	0.3923794992
827	0.3923775434
828	0.392375235
829	0.3923722415
830	0.3923708135
831	0.3923696337
832	0.3923665049
833	0.3923650864
834	0.3923639743
835	0.3923587824
836	0.3923539096
837	0.3923344903
838	0.392331859
839	0.3923300322
840	0.3923275069
841	0.3923221083
842	0.3923181485
843	0.3923159097
844	0.3923136269
845	0.3923127217
846	0.3923099653
847	0.3922985422
848	0.3922965312
849	0.3922933842
850	0.3922899554
851	0.3922878966
852	0.3922847173
853	0.3922813903
854	0.3922787449
855	0.3922761167
856	0.3922744022
857	0.3922586555
858	0.3922568423
859	0.3922550315
860	0.3922534787
861	0.392250501
862	0.3922490252
863	0.3922475825
864	0.3922459963
865	0.3922429729
866	0.3922410803
867	0.3922399646
868	0.3922382249
869	0.3922366902
870	0.3922348586
871	0.3922323766
872	0.3922297225
873	0.392228358
874	0.3922175949
875	0.3922156772
876	0.3922123434
877	0.3922112489
878	0.3922098528
879	0.3922070294
880	0.3922059459
881	0.3922033353
882	0.3922015123
883	0.3921994605
884	0.3921943893
885	0.3921921331
886	0.3921905501
887	0.3921866179
888	0.3921841663
889	0.3921807472
890	0.3921798084
891	0.3921792194
892	0.3921777526
893	0.392175985
894	0.3921736572
895	0.3921694184
896	0.3921621623
897	0.3921606362
898	0.3921585103
899	0.3921563064
900	0.392153292
901	0.3921511384
902	0.3921486867
903	0.3921438387
904	0.3921403995
905	0.3921389025
906	0.3921334198
907	0.3921319566
908	0.3921300951
909	0.3921282268
910	0.3921272943
911	0.3921244403
912	0.3921233602
913	0.3921206755
914	0.392119214
915	0.3921169974
916	0.3921154002
917	0.3921133231
918	0.3921100881
919	0.3921070292
920	0.3921048209
921	0.3921027854
922	0.3921018001
923	0.3921002392
924	0.3920978988
925	0.3920961199
926	0.3920949707
927	0.3920928055
928	0.3920911006
929	0.392090263
930	0.3920874727
931	0.3920859546
932	0.3920839955
933	0.3920757801
934	0.392074873
935	0.3920733486
936	0.3920707647
937	0.3920699928
938	0.3920687229
939	0.3920668565
940	0.392063998
941	0.3920585772
942	0.3920565585
943	0.3920557474
944	0.3920538621
945	0.3920515547
946	0.3920493089
947	0.3920469191
948	0.3920462453
949	0.3920449493
950	0.3920436019
951	0.3920414462
952	0.3920380185
953	0.39203361
954	0.3920323295
955	0.3920305227
956	0.3920269862
957	0.392022704
